name,value,status,empirical_available,replacement_source,note
K_MULCH,600000.0,SYNTHETIC,yes,Solid Waste Universe/SOPF/Oculus,Annual yard-waste mulching capacity placeholder.
lambda_MULCH,0.05,SYNTHETIC,partial,SOPF/facility reports,Yard-waste processing reject fraction.
ell_MULCH,0.20,SYNTHETIC,partial,SOPF/facility reports/literature,Biological/moisture mass loss in mulching.
c_MULCH,20.0,SYNTHETIC,partial,SOPF/facility reports,$/ton mulching cost.
g_MULCH,0.02,SYNTHETIC,partial,EPA WARM/literature,tCO2e/ton mulching.
e_use_MULCH,0.005,SYNTHETIC,partial,facility data/literature,MWh/ton mulching.
b_MULCH,0.05,SYNTHETIC,partial,EPA WARM/literature,tCO2e avoided per ton mulch product.
p_MULCH,0.0,SYNTHETIC,partial,local market/operator data,$/ton mulch product; zero until verified.
direct_LF_share_residual,0.15,SYNTHETIC,yes,FDEP final disposition/facility data,Share of residual routed directly to landfill before WTE.
transfer_share_public,0.80,SYNTHETIC,yes,Miami-Dade Zero Waste Plan + Solid Waste Universe,Share of public collected tonnage passing through transfer stations.
transfer_share_private,0.30,SYNTHETIC,partial,private routing/facility data,Share of private collected tonnage using transfer stations.
c_transfer,8.0,SYNTHETIC,partial,county contracts/fees,$/ton transfer and line-haul handling cost.
g_transfer,0.005,SYNTHETIC,partial,haul-distance/fuel data,tCO2e/ton transferred.
e_use_transfer,0.002,SYNTHETIC,partial,facility data,MWh/ton transfer operations.
S_CND0,0.0,SYNTHETIC,no,model initialization,Initial cumulative C&D disposal stock.
delta_CND,0.0,SYNTHETIC,no,model assumption,C&D disposal stock depreciation; zero baseline.
fl_credit_MRF,1.0,SYNTHETIC,yes,FDEP recycling credit methodology,Regulatory-credit weight on recovered conventional recyclables.
fl_credit_organics,1.0,SYNTHETIC,yes,FDEP recycling credit methodology,Regulatory-credit weight on recovered organics/mulch.
fl_credit_CND,1.0,SYNTHETIC,yes,FDEP recycling credit methodology,Regulatory-credit weight on recovered C&D.
fl_credit_WTE,0.0,SYNTHETIC,yes,FDEP renewable-energy recycling credit methodology,Kept zero until Florida credit formula is implemented explicitly.
